PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
22,0x000a,1.85874,0x00000000,2025-12-14T15:36:37.810Z,2025-12-14T15:36:37.810Z
21,0x000a,0.134333,0x00000000,2025-12-14T15:36:37.810Z,2025-12-14T15:36:37.810Z
8,0x0004,18330,0x00000000,2025-12-14T15:36:37.810Z,2025-12-14T15:36:37.810Z
7,0x0004,14294,0x00000000,2025-12-14T15:36:37.810Z,2025-12-14T15:36:37.810Z
39,0x000a,0,0x00000000,2025-12-14T15:36:37.914Z,2025-12-14T15:36:37.914Z
38,0x000a,1.49739,0x00000000,2025-12-14T15:36:37.914Z,2025-12-14T15:36:37.914Z
36,0x000a,1.89935,0x00000000,2025-12-14T15:36:37.914Z,2025-12-14T15:36:37.914Z
35,0x000a,1.82998,0x00000000,2025-12-14T15:36:37.914Z,2025-12-14T15:36:37.914Z
34,0x000a,0.0671666,0x00000000,2025-12-14T15:36:37.914Z,2025-12-14T15:36:37.914Z
25,0x000a,5.31973,0x00000000,2025-12-14T15:36:37.914Z,2025-12-14T15:36:37.914Z
23,0x000a,1.89935,0x00000000,2025-12-14T15:36:37.914Z,2025-12-14T15:36:37.914Z
22,0x000a,1.82998,0x00000000,2025-12-14T15:36:37.910Z,2025-12-14T15:36:37.910Z
21,0x000a,0.0671666,0x00000000,2025-12-14T15:36:37.910Z,2025-12-14T15:36:37.910Z
7,0x0004,14708,0x00000000,2025-12-14T15:36:37.910Z,2025-12-14T15:36:37.910Z
42,0x0001,true,0x00000000,2025-12-14T15:36:38.111Z,2025-12-14T15:36:38.111Z
38,0x000a,1.39974,0x00000000,2025-12-14T15:36:38.012Z,2025-12-14T15:36:38.012Z
38,0x000a,1.50101,0x00000000,2025-12-14T15:36:38.111Z,2025-12-14T15:36:38.111Z
36,0x000a,0.949673,0x00000000,2025-12-14T15:36:38.012Z,2025-12-14T15:36:38.012Z
36,0x000a,0.474836,0x00000000,2025-12-14T15:36:38.111Z,2025-12-14T15:36:38.111Z
35,0x000a,1.66369,0x00000000,2025-12-14T15:36:38.012Z,2025-12-14T15:36:38.012Z
35,0x000a,1.53171,0x00000000,2025-12-14T15:36:38.111Z,2025-12-14T15:36:38.111Z
34,0x000a,0.0335833,0x00000000,2025-12-14T15:36:38.012Z,2025-12-14T15:36:38.012Z
34,0x000a,0.0167916,0x00000000,2025-12-14T15:36:38.111Z,2025-12-14T15:36:38.111Z
25,0x000a,5.45971,0x00000000,2025-12-14T15:36:38.012Z,2025-12-14T15:36:38.012Z
25,0x000a,5.60981,0x00000000,2025-12-14T15:36:38.111Z,2025-12-14T15:36:38.111Z
23,0x000a,0.949673,0x00000000,2025-12-14T15:36:38.012Z,2025-12-14T15:36:38.012Z
23,0x000a,0.474836,0x00000000,2025-12-14T15:36:38.111Z,2025-12-14T15:36:38.111Z
22,0x000a,1.66369,0x00000000,2025-12-14T15:36:38.008Z,2025-12-14T15:36:38.008Z
22,0x000a,1.53171,0x00000000,2025-12-14T15:36:38.108Z,2025-12-14T15:36:38.108Z
21,0x000a,0.0335833,0x00000000,2025-12-14T15:36:38.008Z,2025-12-14T15:36:38.008Z
21,0x000a,0.0167916,0x00000000,2025-12-14T15:36:38.108Z,2025-12-14T15:36:38.108Z
7,0x0004,15095,0x00000000,2025-12-14T15:36:38.008Z,2025-12-14T15:36:38.008Z
7,0x0004,15510,0x00000000,2025-12-14T15:36:38.108Z,2025-12-14T15:36:38.108Z
36,0x000a,0.237418,0x00000000,2025-12-14T15:36:38.210Z,2025-12-14T15:36:38.210Z
35,0x000a,1.51636,0x00000000,2025-12-14T15:36:38.210Z,2025-12-14T15:36:38.210Z
34,0x000a,0.00839582,0x00000000,2025-12-14T15:36:38.210Z,2025-12-14T15:36:38.210Z
25,0x000a,5.75991,0x00000000,2025-12-14T15:36:38.210Z,2025-12-14T15:36:38.210Z
23,0x000a,0.237418,0x00000000,2025-12-14T15:36:38.210Z,2025-12-14T15:36:38.210Z
22,0x000a,1.51636,0x00000000,2025-12-14T15:36:38.210Z,2025-12-14T15:36:38.210Z
21,0x000a,0.00839582,0x00000000,2025-12-14T15:36:38.210Z,2025-12-14T15:36:38.210Z
7,0x0004,15925,0x00000000,2025-12-14T15:36:38.210Z,2025-12-14T15:36:38.210Z
38,0x000a,1.4974,0x00000000,2025-12-14T15:36:38.311Z,2025-12-14T15:36:38.311Z
36,0x000a,0.118709,0x00000000,2025-12-14T15:36:38.311Z,2025-12-14T15:36:38.311Z
35,0x000a,1.50869,0x00000000,2025-12-14T15:36:38.311Z,2025-12-14T15:36:38.311Z
34,0x000a,0.00419791,0x00000000,2025-12-14T15:36:38.311Z,2025-12-14T15:36:38.311Z
25,0x000a,5.90965,0x00000000,2025-12-14T15:36:38.311Z,2025-12-14T15:36:38.311Z
23,0x000a,0.118709,0x00000000,2025-12-14T15:36:38.311Z,2025-12-14T15:36:38.311Z
22,0x000a,1.50869,0x00000000,2025-12-14T15:36:38.311Z,2025-12-14T15:36:38.311Z
21,0x000a,0.00419791,0x00000000,2025-12-14T15:36:38.311Z,2025-12-14T15:36:38.311Z
7,0x0004,16339,0x00000000,2025-12-14T15:36:38.311Z,2025-12-14T15:36:38.311Z
25,0x000a,6.04999,0x00000000,2025-12-14T15:36:38.410Z,2025-12-14T15:36:38.410Z
7,0x0004,16727,0x00000000,2025-12-14T15:36:38.410Z,2025-12-14T15:36:38.410Z
38,0x000a,1.40336,0x00000000,2025-12-14T15:36:38.513Z,2025-12-14T15:36:38.513Z
36,0x000a,0.0593546,0x00000000,2025-12-14T15:36:38.513Z,2025-12-14T15:36:38.513Z
35,0x000a,1.50304,0x00000000,2025-12-14T15:36:38.513Z,2025-12-14T15:36:38.513Z
34,0x000a,0.00209895,0x00000000,2025-12-14T15:36:38.513Z,2025-12-14T15:36:38.513Z
25,0x000a,6.22975,0x00000000,2025-12-14T15:36:38.513Z,2025-12-14T15:36:38.513Z
23,0x000a,0.0593546,0x00000000,2025-12-14T15:36:38.513Z,2025-12-14T15:36:38.513Z
22,0x000a,1.50304,0x00000000,2025-12-14T15:36:38.510Z,2025-12-14T15:36:38.510Z
21,0x000a,0.00209895,0x00000000,2025-12-14T15:36:38.510Z,2025-12-14T15:36:38.510Z
7,0x0004,17224,0x00000000,2025-12-14T15:36:38.510Z,2025-12-14T15:36:38.510Z
38,0x000a,1.7976,0x00000000,2025-12-14T15:36:38.610Z,2025-12-14T15:36:38.610Z
36,0x000a,0.0296773,0x00000000,2025-12-14T15:36:38.610Z,2025-12-14T15:36:38.610Z
35,0x000a,1.4532,0x00000000,2025-12-14T15:36:38.610Z,2025-12-14T15:36:38.610Z
34,0x000a,0.00104948,0x00000000,2025-12-14T15:36:38.610Z,2025-12-14T15:36:38.610Z
25,0x000a,6.37985,0x00000000,2025-12-14T15:36:38.610Z,2025-12-14T15:36:38.610Z
23,0x000a,0.0296773,0x00000000,2025-12-14T15:36:38.610Z,2025-12-14T15:36:38.610Z
22,0x000a,1.4532,0x00000000,2025-12-14T15:36:38.610Z,2025-12-14T15:36:38.610Z
21,0x000a,0.00104948,0x00000000,2025-12-14T15:36:38.610Z,2025-12-14T15:36:38.610Z
7,0x0004,17639,0x00000000,2025-12-14T15:36:38.610Z,2025-12-14T15:36:38.610Z
38,0x000a,3.00202,0x00000000,2025-12-14T15:36:38.712Z,2025-12-14T15:36:38.712Z
36,0x000a,0.0148386,0x00000000,2025-12-14T15:36:38.712Z,2025-12-14T15:36:38.712Z
35,0x000a,1.6254,0x00000000,2025-12-14T15:36:38.712Z,2025-12-14T15:36:38.712Z
34,0x000a,0.000524739,0x00000000,2025-12-14T15:36:38.712Z,2025-12-14T15:36:38.712Z
25,0x000a,6.52995,0x00000000,2025-12-14T15:36:38.712Z,2025-12-14T15:36:38.712Z
23,0x000a,0.0148386,0x00000000,2025-12-14T15:36:38.712Z,2025-12-14T15:36:38.712Z
22,0x000a,1.6254,0x00000000,2025-12-14T15:36:38.712Z,2025-12-14T15:36:38.712Z
21,0x000a,0.000524739,0x00000000,2025-12-14T15:36:38.712Z,2025-12-14T15:36:38.712Z
7,0x0004,18054,0x00000000,2025-12-14T15:36:38.712Z,2025-12-14T15:36:38.712Z
38,0x000a,1.4974,0x00000000,2025-12-14T15:36:38.814Z,2025-12-14T15:36:38.814Z
36,0x000a,0.00741932,0x00000000,2025-12-14T15:36:38.814Z,2025-12-14T15:36:38.814Z
35,0x000a,2.31371,0x00000000,2025-12-14T15:36:38.814Z,2025-12-14T15:36:38.814Z
34,0x000a,0.000262369,0x00000000,2025-12-14T15:36:38.814Z,2025-12-14T15:36:38.814Z
25,0x000a,6.67969,0x00000000,2025-12-14T15:36:38.814Z,2025-12-14T15:36:38.814Z
23,0x000a,0.00741932,0x00000000,2025-12-14T15:36:38.814Z,2025-12-14T15:36:38.814Z
22,0x000a,2.31371,0x00000000,2025-12-14T15:36:38.810Z,2025-12-14T15:36:38.810Z
21,0x000a,0.000262369,0x00000000,2025-12-14T15:36:38.810Z,2025-12-14T15:36:38.810Z
7,0x0004,18468,0x00000000,2025-12-14T15:36:38.810Z,2025-12-14T15:36:38.810Z
38,0x000a,1.39974,0x00000000,2025-12-14T15:36:38.910Z,2025-12-14T15:36:38.910Z
